year,variable_name,measurement_status,source_variable,short_label,full_question_wording,response_scale,number_categories,original_codes,asked_this_year,valid_n,structural_missing,wording_change,scale_change,coding_change,survey_mode,category_sparsity,cross_wave_comparability,official_codebook_source,codebook_evidence,notes_final,attitude_domain,substantive_direction,respondent_missing_n,comparability_problem,notes
2004,VCF0879a,ACCEPTABLE WITH SENSITIVITY,V045115,Immigration level increase/decrease - collapsed,"Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a little, increased a lot, decreased a little, decreased a lot, or left the same as it is now? 1996,1998: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, decreased a little, decreased a lot, or left the same as it is now? 2000: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased, decreased, or left the same as it is now? 2004: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?",3. Same as now 5. Decreased 8. DK,3,1;3;5,Yes,1047,NO,presentation/coding changes,presentation/coding changes,presentation/coding changes,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1012; CATEGORIES=1,3,5",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 388),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 388); asked_this_year=Yes; valid_n=1047; structural_missing=NO; wording_change=presentation/coding changes; scale_change=presentation/coding changes; coding_change=presentation/coding changes; form/mode note=Codebook source years=1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,3,5,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",immigration,1=Increased; 3=Same; 5=Decreased,150,presentation/coding changes,"Codebook source years=1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,3,5,8,9"
2008,VCF0879a,ACCEPTABLE WITH SENSITIVITY,V085082,Immigration level increase/decrease - collapsed,"Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a little, increased a lot, decreased a little, decreased a lot, or left the same as it is now? 1996,1998: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, decreased a little, decreased a lot, or left the same as it is now? 2000: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased, decreased, or left the same as it is now? 2004: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?",3. Same as now 5. Decreased 8. DK,3,1;3;5,Yes,2061,NO,presentation/coding changes,presentation/coding changes,presentation/coding changes,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1465; CATEGORIES=1,3,5",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 388),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 388); asked_this_year=Yes; valid_n=2061; structural_missing=NO; wording_change=presentation/coding changes; scale_change=presentation/coding changes; coding_change=presentation/coding changes; form/mode note=Codebook source years=1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,3,5,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",immigration,1=Increased; 3=Same; 5=Decreased,226,presentation/coding changes,"Codebook source years=1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,3,5,8,9"
2012,VCF0879a,ACCEPTABLE WITH SENSITIVITY,immigpo_level,Immigration level increase/decrease - collapsed,"Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a little, increased a lot, decreased a little, decreased a lot, or left the same as it is now? 1996,1998: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, decreased a little, decreased a lot, or left the same as it is now? 2000: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased, decreased, or left the same as it is now? 2004: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?",3. Same as now 5. Decreased 8. DK,3,1;3;5,Yes,5390,NO,presentation/coding changes,presentation/coding changes,presentation/coding changes,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1432; CATEGORIES=1,3,5",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 388),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 388); asked_this_year=Yes; valid_n=5390; structural_missing=NO; wording_change=presentation/coding changes; scale_change=presentation/coding changes; coding_change=presentation/coding changes; form/mode note=Codebook source years=1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,3,5,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",immigration,1=Increased; 3=Same; 5=Decreased,446,presentation/coding changes,"Codebook source years=1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,3,5,8,9"
2016,VCF0879a,ACCEPTABLE WITH SENSITIVITY,V162157,Immigration level increase/decrease - collapsed,"Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a little, increased a lot, decreased a little, decreased a lot, or left the same as it is now? 1996,1998: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, decreased a little, decreased a lot, or left the same as it is now? 2000: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased, decreased, or left the same as it is now? 2004: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?",3. Same as now 5. Decreased 8. DK,3,1;3;5,Yes,3621,NO,presentation/coding changes,presentation/coding changes,presentation/coding changes,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1616; CATEGORIES=1,3,5",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 388),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 388); asked_this_year=Yes; valid_n=3621; structural_missing=NO; wording_change=presentation/coding changes; scale_change=presentation/coding changes; coding_change=presentation/coding changes; form/mode note=Codebook source years=1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,3,5,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",immigration,1=Increased; 3=Same; 5=Decreased,636,presentation/coding changes,"Codebook source years=1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,3,5,8,9"
2020,VCF0879a,ACCEPTABLE WITH SENSITIVITY,V202232,Immigration level increase/decrease - collapsed,"Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a little, increased a lot, decreased a little, decreased a lot, or left the same as it is now? 1996,1998: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, decreased a little, decreased a lot, or left the same as it is now? 2000: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased, decreased, or left the same as it is now? 2004: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?",3. Same as now 5. Decreased 8. DK,3,1;3;5,Yes,7350,NO,presentation/coding changes,presentation/coding changes,presentation/coding changes,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.2771; CATEGORIES=1,3,5",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 388),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 388); asked_this_year=Yes; valid_n=7350; structural_missing=NO; wording_change=presentation/coding changes; scale_change=presentation/coding changes; coding_change=presentation/coding changes; form/mode note=Codebook source years=1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,3,5,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",immigration,1=Increased; 3=Same; 5=Decreased,926,presentation/coding changes,"Codebook source years=1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,3,5,8,9"
2024,VCF0879a,ACCEPTABLE WITH SENSITIVITY,V242227,Immigration level increase/decrease - collapsed,"Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a little, increased a lot, decreased a little, decreased a lot, or left the same as it is now? 1996,1998: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, decreased a little, decreased a lot, or left the same as it is now? 2000: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased, decreased, or left the same as it is now? 2004: Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?",3. Same as now 5. Decreased 8. DK,3,1;3;5,Yes,4898,NO,presentation/coding changes,presentation/coding changes,presentation/coding changes,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1840; CATEGORIES=1,3,5",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 388),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 388); asked_this_year=Yes; valid_n=4898; structural_missing=NO; wording_change=presentation/coding changes; scale_change=presentation/coding changes; coding_change=presentation/coding changes; form/mode note=Codebook source years=1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,3,5,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",immigration,1=Increased; 3=Same; 5=Decreased,612,presentation/coding changes,"Codebook source years=1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,3,5,8,9"
2004,VCF0888,ACCEPTABLE WITH SENSITIVITY,V043168,Federal spending - crime,,390 VARIABLE DESCRIPTION 2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,1198,NO,federal-spending battery,federal-spending battery,federal-spending battery,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0351; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 393),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 393); asked_this_year=Yes; valid_n=1198; structural_missing=NO; wording_change=federal-spending battery; scale_change=federal-spending battery; coding_change=federal-spending battery; form/mode note=Codebook source years=1984,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",law/order,1=Increased; 2=Same; 3=Decreased,14,federal-spending battery,"Codebook source years=1984,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,9"
2008,VCF0888,ACCEPTABLE WITH SENSITIVITY,V083144,Federal spending - crime,,390 VARIABLE DESCRIPTION 2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,2290,NO,federal-spending battery,federal-spending battery,federal-spending battery,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0472; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 393),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 393); asked_this_year=Yes; valid_n=2290; structural_missing=NO; wording_change=federal-spending battery; scale_change=federal-spending battery; coding_change=federal-spending battery; form/mode note=Codebook source years=1984,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",law/order,1=Increased; 2=Same; 3=Decreased,32,federal-spending battery,"Codebook source years=1984,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9"
2012,VCF0888,ACCEPTABLE WITH SENSITIVITY,fedspend_crime,Federal spending - crime,,390 VARIABLE DESCRIPTION 2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,5861,NO,federal-spending battery,federal-spending battery,federal-spending battery,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0836; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 393),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 393); asked_this_year=Yes; valid_n=5861; structural_missing=NO; wording_change=federal-spending battery; scale_change=federal-spending battery; coding_change=federal-spending battery; form/mode note=Codebook source years=1984,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",law/order,1=Increased; 2=Same; 3=Decreased,53,federal-spending battery,"Codebook source years=1984,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9"
2016,VCF0888,ACCEPTABLE WITH SENSITIVITY,V161208,Federal spending - crime,,390 VARIABLE DESCRIPTION 2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,4247,NO,federal-spending battery,federal-spending battery,federal-spending battery,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0803; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 393),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 393); asked_this_year=Yes; valid_n=4247; structural_missing=NO; wording_change=federal-spending battery; scale_change=federal-spending battery; coding_change=federal-spending battery; form/mode note=Codebook source years=1984,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",law/order,1=Increased; 2=Same; 3=Decreased,23,federal-spending battery,"Codebook source years=1984,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9"
2020,VCF0888,ACCEPTABLE WITH SENSITIVITY,V201309,Federal spending - crime,,390 VARIABLE DESCRIPTION 2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,8227,NO,federal-spending battery,federal-spending battery,federal-spending battery,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1149; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 393),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 393); asked_this_year=Yes; valid_n=8227; structural_missing=NO; wording_change=federal-spending battery; scale_change=federal-spending battery; coding_change=federal-spending battery; form/mode note=Codebook source years=1984,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",law/order,1=Increased; 2=Same; 3=Decreased,53,federal-spending battery,"Codebook source years=1984,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9"
2024,VCF0888,ACCEPTABLE WITH SENSITIVITY,V241270,Federal spending - crime,,390 VARIABLE DESCRIPTION 2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,5246,NO,federal-spending battery,federal-spending battery,federal-spending battery,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0593; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 393),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 393); asked_this_year=Yes; valid_n=5246; structural_missing=NO; wording_change=federal-spending battery; scale_change=federal-spending battery; coding_change=federal-spending battery; form/mode note=Codebook source years=1984,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9,","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",law/order,1=Increased; 2=Same; 3=Decreased,275,federal-spending battery,"Codebook source years=1984,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9,"
2004,VCF0890,ACCEPTABLE WITH SENSITIVITY,V043166,Federal spending - public schools,,2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,1201,NO,2002 wording assignment,2002 wording assignment,2002 wording assignment,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0441; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 394),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 394); asked_this_year=Yes; valid_n=1201; structural_missing=NO; wording_change=2002 wording assignment; scale_change=2002 wording assignment; coding_change=2002 wording assignment; form/mode note=Codebook source years=1984,1988,1990,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",government services/education,1=Increased; 2=Same; 3=Decreased,11,2002 wording assignment,"Codebook source years=1984,1988,1990,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,9"
2008,VCF0890,ACCEPTABLE WITH SENSITIVITY,V083142,Federal spending - public schools,,2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,2295,NO,2002 wording assignment,2002 wording assignment,2002 wording assignment,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0397; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 394),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 394); asked_this_year=Yes; valid_n=2295; structural_missing=NO; wording_change=2002 wording assignment; scale_change=2002 wording assignment; coding_change=2002 wording assignment; form/mode note=Codebook source years=1984,1988,1990,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",government services/education,1=Increased; 2=Same; 3=Decreased,27,2002 wording assignment,"Codebook source years=1984,1988,1990,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9"
2012,VCF0890,ACCEPTABLE WITH SENSITIVITY,fedspend_schools,Federal spending - public schools,,2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,5881,NO,2002 wording assignment,2002 wording assignment,2002 wording assignment,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1002; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 394),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 394); asked_this_year=Yes; valid_n=5881; structural_missing=NO; wording_change=2002 wording assignment; scale_change=2002 wording assignment; coding_change=2002 wording assignment; form/mode note=Codebook source years=1984,1988,1990,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",government services/education,1=Increased; 2=Same; 3=Decreased,33,2002 wording assignment,"Codebook source years=1984,1988,1990,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9"
2016,VCF0890,ACCEPTABLE WITH SENSITIVITY,V161206,Federal spending - public schools,,2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,4247,NO,2002 wording assignment,2002 wording assignment,2002 wording assignment,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0768; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 394),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 394); asked_this_year=Yes; valid_n=4247; structural_missing=NO; wording_change=2002 wording assignment; scale_change=2002 wording assignment; coding_change=2002 wording assignment; form/mode note=Codebook source years=1984,1988,1990,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",government services/education,1=Increased; 2=Same; 3=Decreased,23,2002 wording assignment,"Codebook source years=1984,1988,1990,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9"
2020,VCF0890,ACCEPTABLE WITH SENSITIVITY,V201303,Federal spending - public schools,,2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,8251,NO,2002 wording assignment,2002 wording assignment,2002 wording assignment,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0645; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 394),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 394); asked_this_year=Yes; valid_n=8251; structural_missing=NO; wording_change=2002 wording assignment; scale_change=2002 wording assignment; coding_change=2002 wording assignment; form/mode note=Codebook source years=1984,1988,1990,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",government services/education,1=Increased; 2=Same; 3=Decreased,29,2002 wording assignment,"Codebook source years=1984,1988,1990,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9"
2024,VCF0890,ACCEPTABLE WITH SENSITIVITY,V241264,Federal spending - public schools,,2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,5250,NO,2002 wording assignment,2002 wording assignment,2002 wording assignment,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0853; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 394),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 394); asked_this_year=Yes; valid_n=5250; structural_missing=NO; wording_change=2002 wording assignment; scale_change=2002 wording assignment; coding_change=2002 wording assignment; form/mode note=Codebook source years=1984,1988,1990,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9,","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",government services/education,1=Increased; 2=Same; 3=Decreased,271,2002 wording assignment,"Codebook source years=1984,1988,1990,1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9,"
2004,VCF0894,ACCEPTABLE WITH SENSITIVITY,V043169,Federal spending - welfare,,2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,1190,NO,federal-spending battery,federal-spending battery,federal-spending battery,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.2311; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 396),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 396); asked_this_year=Yes; valid_n=1190; structural_missing=NO; wording_change=federal-spending battery; scale_change=federal-spending battery; coding_change=federal-spending battery; form/mode note=Codebook source years=1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",welfare,1=Increased; 2=Same; 3=Decreased,22,federal-spending battery,"Codebook source years=1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,9"
2008,VCF0894,ACCEPTABLE WITH SENSITIVITY,V083145,Federal spending - welfare,,2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,2275,NO,federal-spending battery,federal-spending battery,federal-spending battery,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.2664; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 396),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 396); asked_this_year=Yes; valid_n=2275; structural_missing=NO; wording_change=federal-spending battery; scale_change=federal-spending battery; coding_change=federal-spending battery; form/mode note=Codebook source years=1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",welfare,1=Increased; 2=Same; 3=Decreased,47,federal-spending battery,"Codebook source years=1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9"
